amenity,lat,lon,name,tags,timestamp,address,city
drinking_water,49.3748607,-123.2747101,,{},2018-07-20T02:42:08.000-07:00,"{'amenity': 'Olive & Anchor', 'road': 'Bay Street', 'suburb': 'Horseshoe Bay', 'city': 'West Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7W 3H5', 'country': 'Canada', 'country_code': 'ca'}",West Vancouver
drinking_water,49.17553820000001,-122.6306617,,{},2018-07-28T20:49:58.000-07:00,"{'leisure': 'Port Kells Substation Off-Leash Dog Park', 'road': 'Langley Lane Greenway', 'suburb': 'Walnut Grove', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 2C0', 'country': 'Canada', 'country_code': 'ca'}",Township of Langley
drinking_water,49.2299089,-123.0984869,,{},2017-01-21T00:01:17.000-08:00,"{'road': 'East 44th Avenue', 'neighbourhood': 'South Hill', 'city_district': 'Sunset', 'city': 'Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5W', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.3607038,-123.0280761,,{},2015-06-02T20:14:05.000-07:00,"{'amenity': 'GVRD Washrooms', 'road': 'Lynn Valley Road', 'suburb': 'Lynn Valley', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7J 1Z1', 'country': 'Canada', 'country_code': 'ca'}",District of North Vancouver
drinking_water,49.2837027,-123.0333997,,{},2015-07-14T22:49:54.000-07:00,"{'leisure': 'Bike Pumptrack', 'road': 'Bridgeway Street', 'city_district': 'Hastings-Sunrise', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5K', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2719058,-123.19169209999998,,{},2019-07-06T03:18:29.000-07:00,"{'building': 'Jericho Beach Consession', 'house_number': '3941', 'road': 'Point Grey Road', 'city_district': 'West Point Grey', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6R', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.1981132,-122.5947719,,{},2016-05-04T00:41:11.000-07:00,"{'historic': 'Houston House', 'road': 'Allard Crescent', 'city': 'Township of Langley', 'municipality': 'Langley Township', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V1M 3W1', 'country': 'Canada', 'country_code': 'ca'}",Township of Langley
drinking_water,49.2551847,-123.05006029999998,,{},2018-03-31T00:44:21.000-07:00,"{'house_number': '3215', 'road': 'Slocan Street', 'city_district': 'Renfrew-Collingwood', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5M', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2405858,-122.5788383,,{},2017-05-24T22:13:46.000-07:00,"{'highway': '232 St (NB) at Fern Cres', 'road': '232 Street', 'suburb': 'Yennadon', 'city': 'Maple Ridge', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V2X 6L4', 'country': 'Canada', 'country_code': 'ca'}",Maple Ridge
drinking_water,49.2543244,-123.2352962,,{},2011-07-22T03:36:06.000-07:00,"{'building': 'The Mews', 'road': 'Wesbrook Mall', 'neighbourhood': 'Wesbrook Village', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6S 0E3', 'country': 'Canada', 'country_code': 'ca'}",Electoral Area A
